fund_date,start_date,finish_date,price,total_additional_payments,expenses,total_after_fees,total_hours,status,project_type,master_ownership,song_ownership,time_tracked,soundbetter,spec_project,experienced_client,difficult_client,backend_belief,backend_money_made,sync_license,fully_produced,songwriter,project_hourly,days_to_finish,days_to_start,client_id,project_id
,,2017-07-26,,,,,,Done,full production,,,False,True,False,True,False,True,False,False,True,False,,,,56,171
,,2022-04-06,,,,,,Done,full production,,0.33,False,False,True,True,False,False,False,False,False,True,,,,57,180
,,2021-10-01,,,,,,Done,full production,,0.33,False,False,True,True,False,True,False,False,True,True,,,,57,190
,,2021-08-27,,,,,,Done,full production,,0.33,False,False,True,True,False,False,False,False,False,True,,,,57,181
,,2021-09-10,,,,,,Done,full production,,0.33,False,False,True,True,False,True,True,True,True,True,,,,57,189
,,2021-09-10,,,,,,Done,full production,,0.33,False,False,True,True,False,True,False,False,True,True,,,,57,188
,,2022-01-06,,,,,,Done,full production,,0.33,False,False,True,True,False,True,False,False,True,True,,,,57,187
,,2021-02-26,,,,,,Done,full production,,0.33,False,False,True,True,False,True,False,False,True,True,,,,57,182
,,2021-05-14,,,,,,Done,full production,,0.33,False,False,True,True,False,True,False,False,True,True,,,,57,186
,,2021-08-27,,,,,,Done,full production,,0.33,False,False,True,True,False,True,False,False,True,True,,,,57,191
,,2021-04-21,,,,,,Done,full production,,0.33,False,False,True,True,False,True,False,False,True,True,,,,57,185
,,2020-02-19,,,,,,Done,full production,,0.33,False,False,True,True,False,True,False,False,True,True,,,,57,184
,,2022-04-01,,,,,,Done,full production,,0.33,False,False,True,True,False,True,False,False,False,True,,,,57,183
,,2021-08-16,,,,,,Done,full production,,0.33,False,False,True,True,False,True,False,False,True,True,,,,57,179
,,2021-04-14,,,,,,Done,full production,,0.33,False,False,True,True,False,True,False,False,True,True,,,,57,178
,,2021-03-17,,,,,,Done,full production,,0.33,False,False,True,True,False,True,False,False,True,True,,,,57,177
,,2022-02-04,,,,,,Done,full production,,0.33,False,False,True,True,False,False,False,False,False,True,,,,57,176
,,2021-07-21,,,,,,Done,full production,,0.33,False,False,True,True,False,True,False,False,True,True,,,,57,175
,,2021-06-21,,,,,,Done,full production,,0.33,False,False,True,True,False,False,False,False,False,True,,,,57,173
,,2022-01-06,,,,,,Done,full production,,0.33,False,False,True,True,False,True,False,False,True,True,,,,57,174
2020-12-16,2020-12-28,2021-05-08,0.4,,,0.4,34.47,Done,full production,,0.5,True,False,False,True,False,True,True,False,True,True,0.011605333333333334,131.0,12.0,58,120
,2022-10-12,2022-10-25,,,,,16.59,Done,full production,,0.33,True,False,True,True,False,True,True,True,True,True,,13.0,,59,60
,2023-02-17,2023-06-02,,,,,18.2,Done,full production,0.45,0.33,True,False,True,True,False,True,False,False,True,True,,105.0,,59,59
,2024-02-23,,,,,,4.88,Active,full production,0.5,0.33,True,False,True,True,False,True,False,False,,True,,,,59,58
,2020-05-08,,,,,,0.0,Paused,full production,,0.33,True,False,True,True,False,True,False,False,False,True,,,,60,243
,,2018-11-24,,,,,,Done,full production,,0.5,False,True,True,False,False,True,False,False,True,True,,,,61,172
2023-08-26,2023-09-12,2023-10-10,0.5333333333333333,,,0.48058666666666666,16.71,Done,additional production,,,True,True,False,False,False,False,False,False,True,False,0.028759999999999997,28.0,17.0,62,68
,2023-02-15,2023-03-08,,,,,13.69,Done,full production,,0.33,True,False,True,True,False,True,False,False,True,True,,21.0,,63,133
,2022-09-28,,,,,,4.15,Paused,full production,,0.33,True,False,True,True,False,True,False,False,False,True,,,,63,137
,2022-10-14,2022-10-25,,,,,21.11,Done,full production,,0.33,True,False,True,True,False,True,False,False,True,True,,11.0,,63,134
,2020-09-03,2020-09-09,,,,,22.88,Done,full production,,0.33,True,False,True,True,False,True,True,True,True,True,,6.0,,63,136
,2021-10-21,2021-11-01,,,,,19.94,Done,full production,,0.33,True,False,True,True,False,True,False,False,True,True,,11.0,,63,135
,2020-03-11,,,,,,2.35,Paused,songwriting,,0.5,True,False,True,True,False,True,False,False,False,True,,,,64,244
2022-10-04,2022-10-05,2022-10-06,0.04,,,0.03684533333333333,0.6,Done,production tweak,,,True,True,False,False,False,False,False,False,True,False,0.061408,1.0,1.0,65,125
,,2017-08-07,,,,,,Done,full production,,,False,True,False,False,True,True,False,False,True,False,,,,66,192
,2020-02-04,2020-05-13,,,,,29.35,Done,full production,,0.33,True,False,True,True,False,True,False,False,True,True,,99.0,,67,148
,2020-02-19,2020-08-29,,,,,18.08,Done,songwriting,,0.33,True,False,True,True,False,True,False,False,False,True,,192.0,,68,147
2020-05-12,2020-07-14,2020-10-23,0.29333333333333333,,0.025066666666666668,0.24512266666666668,25.7,Done,full production,,,True,True,False,False,False,True,False,False,True,False,0.009538666666666668,101.0,63.0,69,82
,,2018-06-06,,,,,,Done,songwriting,,0.5,False,False,True,True,False,False,False,False,False,True,,,,70,193
,,2018-06-08,,,,,,Done,songwriting,,0.5,False,False,True,True,False,True,False,False,False,True,,,,71,194
2023-06-30,2023-07-11,2023-11-07,0.7333333333333333,,,0.7333333333333333,30.69,Done,full production,,,True,False,False,False,False,False,False,False,True,True,0.023896,119.0,11.0,72,61
2023-05-11,2023-05-22,2023-06-27,0.7333333333333333,,,0.6608080000000001,28.2,Done,full production,0.03,,True,True,False,False,False,False,False,False,True,True,0.023432,36.0,11.0,72,62
,,2019-05-11,,,,,,Done,full production,,0.33,False,False,True,True,False,True,False,False,True,True,,,,73,195
,2023-04-21,,,,,,1.78,Paused,songwriting,,0.5,True,False,True,True,False,True,False,False,False,True,,,,74,241
,2023-04-11,,,,,,3.26,Paused,songwriting,,0.5,True,False,True,True,False,True,False,False,False,True,,,,74,242
,2023-05-08,,,,,,2.65,Paused,songwriting,,0.5,True,False,True,True,False,True,False,False,False,True,,,,74,240
2021-02-13,2021-05-14,2021-08-29,0.24,0.08,,0.32,15.67,Done,full production,,,True,False,False,False,False,True,False,False,True,False,0.020421333333333333,107.0,90.0,75,86
2020-05-29,2020-07-07,2020-10-15,0.32,,,0.29475199999999996,25.17,Done,full production,,,True,True,False,False,False,False,False,False,True,False,0.011709333333333332,100.0,39.0,75,85
2021-09-06,2021-09-07,2022-08-24,0.37333333333333335,,,0.37333333333333335,30.69,Done,full production,,,True,False,False,False,False,False,False,False,True,False,0.012165333333333332,351.0,1.0,75,87
,,2016-09-12,,,,,,Done,full production,,,False,True,True,False,False,False,False,False,True,False,,,,76,196
2020-04-08,2020-04-23,2021-03-01,0.21333333333333335,,,0.19650133333333333,21.46,Done,full production,,,True,True,False,True,False,False,False,False,True,False,0.009157333333333335,312.0,15.0,77,76
2022-03-16,2022-03-31,2022-11-10,0.29333333333333333,,0.023637333333333333,0.269696,22.28,Done,full production,,,True,False,False,True,False,False,False,False,True,False,0.012104,224.0,15.0,77,77
2020-11-15,2020-11-20,2021-02-10,0.32,,0.16,0.134752,12.45,Done,full production,,,True,True,False,False,False,False,False,False,True,False,0.010824,82.0,5.0,78,117
2023-12-12,2024-01-04,,0.7333333333333333,,,0.6608080000000001,7.52,Active,full production,0.03,,True,True,False,False,False,True,False,False,,False,0.08787466666666666,,23.0,79,48
,2020-02-24,2020-04-21,,,,,8.07,Done,full production,,0.33,True,False,True,True,False,True,False,False,True,True,,57.0,,80,146
2023-07-16,2024-01-18,,0.7333333333333333,,,0.6608080000000001,11.94,Active,full production,,,True,True,False,False,False,False,False,False,,False,0.055344,,186.0,81,32
2021-10-20,2021-11-01,2021-11-02,0.15271466666666667,,,0.15271466666666667,2.53,Done,mixing,,,True,False,False,False,False,False,False,False,True,False,0.06036266666666667,1.0,12.0,82,66
2023-10-16,2023-10-24,2023-10-27,0.18666666666666668,,,0.18666666666666668,2.27,Done,mixing,,,True,False,False,False,False,False,False,False,True,False,0.082232,3.0,8.0,82,65
2022-04-06,2022-04-13,2022-04-15,0.16,,0.007285333333333334,0.15271466666666667,2.98,Done,mixing,,,True,False,False,False,False,False,False,False,True,False,0.05124533333333333,2.0,7.0,82,67
2020-05-28,2020-07-29,2020-10-06,0.30666666666666664,,,0.282472,17.41,Done,full production,,,True,True,False,False,False,False,False,False,True,False,0.016224000000000002,69.0,62.0,83,84
,,2018-09-18,,,,,,Done,full production,,0.5,False,False,True,True,False,True,False,False,True,True,,,,84,37
,,,,,,,0.61,Active,full production,1.0,1.0,True,False,True,True,False,True,False,False,,True,,,,84,36
,,2013-01-01,,,,,,Done,full production,,1.0,False,False,True,True,False,True,False,False,True,True,,,,84,41
,,2019-10-07,,,,,,Done,full production,,0.33,False,False,True,True,False,True,False,False,True,True,,,,84,42
